店舗,機種名,End_Digit,稼働日数,集計数,平均差枚数,平均回転数,勝率
A-FLAG津,L ToLOVEるダークネス,0.0,43,72,106.375,1049.0833333333333,0.2361111111111111
A-FLAG津,L ToLOVEるダークネス,1.0,55,92,95.44565217391305,1411.6739130434783,0.2608695652173913
A-FLAG津,L ToLOVEるダークネス,2.0,44,74,-183.3783783783784,1236.3513513513512,0.21621621621621623
A-FLAG津,L ToLOVEるダークネス,3.0,44,75,-377.18666666666667,1644.0666666666666,0.18666666666666668
A-FLAG津,L ToLOVEるダークネス,4.0,44,74,-347.6756756756757,1034.837837837838,0.14864864864864866
A-FLAG津,L ToLOVEるダークネス,5.0,43,73,-447.5342465753425,1253.13698630137,0.2465753424657534
A-FLAG津,L ToLOVEるダークネス,6.0,45,77,-117.0,1154.8051948051948,0.2727272727272727
A-FLAG津,L ToLOVEるダークネス,7.0,44,74,-255.64864864864865,1062.3783783783783,0.1891891891891892
A-FLAG津,L ToLOVEるダークネス,8.0,44,73,236.73972602739727,1169.5068493150684,0.3013698630136986
A-FLAG津,L ToLOVEるダークネス,9.0,43,72,166.77777777777777,1124.888888888889,0.2777777777777778
A-FLAG津,L にゃんこ大戦争 超神速,0.0,32,32,143.78125,983.28125,0.28125
A-FLAG津,L にゃんこ大戦争 超神速,1.0,40,40,9.725,1496.45,0.3
A-FLAG津,L にゃんこ大戦争 超神速,2.0,32,32,-258.375,1656.59375,0.1875
A-FLAG津,L にゃんこ大戦争 超神速,3.0,33,33,-206.8181818181818,1659.5757575757575,0.3333333333333333
A-FLAG津,L にゃんこ大戦争 超神速,4.0,32,32,-179.03125,1600.125,0.25
A-FLAG津,L にゃんこ大戦争 超神速,5.0,31,31,-305.2258064516129,1571.0645161290322,0.2903225806451613
A-FLAG津,L にゃんこ大戦争 超神速,6.0,32,32,-291.40625,1339.75,0.1875
A-FLAG津,L にゃんこ大戦争 超神速,7.0,31,31,-5.451612903225806,942.9677419354839,0.25806451612903225
A-FLAG津,L にゃんこ大戦争 超神速,8.0,31,31,-221.90322580645162,960.6451612903226,0.16129032258064516
A-FLAG津,L にゃんこ大戦争 超神速,9.0,32,32,-163.5,1561.09375,0.28125
A-FLAG津,L アズールレーン THE ANIMATION,0.0,22,22,404.40909090909093,2246.3636363636365,0.4090909090909091
A-FLAG津,L アズールレーン THE ANIMATION,1.0,27,27,1.5925925925925926,2412.6666666666665,0.48148148148148145
A-FLAG津,L アズールレーン THE ANIMATION,2.0,21,21,-262.7142857142857,2183.9523809523807,0.23809523809523808
A-FLAG津,L アズールレーン THE ANIMATION,3.0,21,21,-1476.4285714285713,2737.1428571428573,0.19047619047619047
A-FLAG津,L アズールレーン THE ANIMATION,4.0,21,21,-262.0952380952381,2571.190476190476,0.3333333333333333
A-FLAG津,L アズールレーン THE ANIMATION,5.0,21,21,-375.23809523809524,2008.4285714285713,0.23809523809523808
A-FLAG津,L アズールレーン THE ANIMATION,6.0,22,22,1335.4545454545455,1866.3636363636363,0.45454545454545453
A-FLAG津,L アズールレーン THE ANIMATION,7.0,22,22,320.59090909090907,1907.8636363636363,0.4090909090909091
A-FLAG津,L アズールレーン THE ANIMATION,8.0,23,23,362.1304347826087,2323.391304347826,0.4782608695652174
A-FLAG津,L アズールレーン THE ANIMATION,9.0,22,22,-114.77272727272727,2340.1363636363635,0.4090909090909091
A-FLAG津,L ゴジラ対エヴァンゲリオン,0.0,29,83,-216.59036144578315,547.6987951807229,0.1566265060240964
A-FLAG津,L ゴジラ対エヴァンゲリオン,1.0,37,110,167.9909090909091,709.5545454545454,0.2727272727272727
A-FLAG津,L ゴジラ対エヴァンゲリオン,2.0,30,90,-57.4,641.5111111111111,0.17777777777777778
A-FLAG津,L ゴジラ対エヴァンゲリオン,3.0,31,91,-193.75824175824175,708.3846153846154,0.24175824175824176
A-FLAG津,L ゴジラ対エヴァンゲリオン,4.0,30,89,-61.42696629213483,523.685393258427,0.21348314606741572
A-FLAG津,L ゴジラ対エヴァンゲリオン,5.0,30,87,-138.67816091954023,718.3103448275862,0.14942528735632185
A-FLAG津,L ゴジラ対エヴァンゲリオン,6.0,32,93,188.32258064516128,544.9032258064516,0.21505376344086022
A-FLAG津,L ゴジラ対エヴァンゲリオン,7.0,30,86,-30.837209302325583,535.8604651162791,0.20930232558139536
A-FLAG津,L ゴジラ対エヴァンゲリオン,8.0,29,83,144.78313253012047,562.9759036144578,0.1927710843373494
A-FLAG津,L ゴジラ対エヴァンゲリオン,9.0,29,83,-64.67469879518072,843.1204819277109,0.25301204819277107
A-FLAG津,L サラリーマン金太郎,0.0,26,35,-299.2857142857143,1026.4285714285713,0.08571428571428572
A-FLAG津,L サラリーマン金太郎,1.0,32,44,-255.29545454545453,1097.8181818181818,0.18181818181818182
A-FLAG津,L サラリーマン金太郎,2.0,26,37,280.86486486486484,937.7837837837837,0.2702702702702703
A-FLAG津,L サラリーマン金太郎,3.0,27,38,-62.76315789473684,1151.5263157894738,0.18421052631578946
A-FLAG津,L サラリーマン金太郎,4.0,26,37,-226.45945945945945,992.3513513513514,0.08108108108108109
A-FLAG津,L サラリーマン金太郎,5.0,27,38,-633.4473684210526,864.7105263157895,0.07894736842105263
A-FLAG津,L サラリーマン金太郎,6.0,29,41,352.6585365853659,1074.439024390244,0.21951219512195122
A-FLAG津,L サラリーマン金太郎,7.0,27,37,82.35135135135135,927.5135135135135,0.24324324324324326
A-FLAG津,L サラリーマン金太郎,8.0,26,35,-156.57142857142858,1181.0285714285715,0.17142857142857143
A-FLAG津,L サラリーマン金太郎,9.0,26,35,-173.28571428571428,998.0857142857143,0.14285714285714285
A-FLAG津,L 新・必殺仕置人 回胴 CRASH SPEC,0.0,8,8,20.125,464.375,0.25
A-FLAG津,L 新・必殺仕置人 回胴 CRASH SPEC,1.0,12,12,-105.41666666666667,610.0833333333334,0.25
A-FLAG津,L 新・必殺仕置人 回胴 CRASH SPEC,2.0,10,10,-120.5,519.6,0.2
A-FLAG津,L 新・必殺仕置人 回胴 CRASH SPEC,3.0,9,9,-252.55555555555554,434.44444444444446,0.2222222222222222
A-FLAG津,L 新・必殺仕置人 回胴 CRASH SPEC,4.0,9,9,2.111111111111111,585.6666666666666,0.1111111111111111
A-FLAG津,L 新・必殺仕置人 回胴 CRASH SPEC,5.0,8,8,146.25,724.25,0.375
A-FLAG津,L 新・必殺仕置人 回胴 CRASH SPEC,6.0,9,9,298.22222222222223,360.22222222222223,0.3333333333333333
A-FLAG津,L 新・必殺仕置人 回胴 CRASH SPEC,7.0,9,9,251.88888888888889,421.77777777777777,0.1111111111111111
A-FLAG津,L 新・必殺仕置人 回胴 CRASH SPEC,8.0,9,9,-53.111111111111114,538.1111111111111,0.3333333333333333
A-FLAG津,L 新・必殺仕置人 回胴 CRASH SPEC,9.0,8,8,-342.5,585.375,0.25
A-FLAG津,L 東京喰種,0.0,37,111,-217.17117117117118,2389.612612612613,0.2882882882882883
A-FLAG津,L 東京喰種,1.0,46,138,-232.04347826086956,2605.557971014493,0.34782608695652173
A-FLAG津,L 東京喰種,2.0,37,111,-366.3783783783784,2341.2162162162163,0.3063063063063063
A-FLAG津,L 東京喰種,3.0,38,114,-782.1578947368421,2987.9122807017543,0.2982456140350877
A-FLAG津,L 東京喰種,4.0,38,114,-571.1754385964912,2570.4473684210525,0.2807017543859649
A-FLAG津,L 東京喰種,5.0,38,114,-283.9298245614035,2759.5877192982457,0.3333333333333333
A-FLAG津,L 東京喰種,6.0,39,117,-224.42735042735043,2398.5982905982905,0.358974358974359
A-FLAG津,L 東京喰種,7.0,38,114,-415.50877192982455,2299.5701754385964,0.2894736842105263
A-FLAG津,L 東京喰種,8.0,38,114,-413.8421052631579,2208.4298245614036,0.30701754385964913
A-FLAG津,L 東京喰種,9.0,37,111,-330.5945945945946,2567.5405405405404,0.34234234234234234
A-FLAG津,L 無職転生 〜異世界行ったら本気だす〜,0.0,11,11,-25.636363636363637,378.90909090909093,0.18181818181818182
A-FLAG津,L 無職転生 〜異世界行ったら本気だす〜,1.0,16,16,72.125,1123.5,0.1875
A-FLAG津,L 無職転生 〜異世界行ったら本気だす〜,2.0,13,13,202.07692307692307,653.5384615384615,0.3076923076923077
A-FLAG津,L 無職転生 〜異世界行ったら本気だす〜,3.0,13,13,-24.53846153846154,333.61538461538464,0.15384615384615385
A-FLAG津,L 無職転生 〜異世界行ったら本気だす〜,4.0,13,13,-10.692307692307692,437.15384615384613,0.15384615384615385
A-FLAG津,L 無職転生 〜異世界行ったら本気だす〜,5.0,12,12,242.58333333333334,396.8333333333333,0.16666666666666666
A-FLAG津,L 無職転生 〜異世界行ったら本気だす〜,6.0,13,13,237.69230769230768,553.3076923076923,0.23076923076923078
A-FLAG津,L 無職転生 〜異世界行ったら本気だす〜,7.0,13,13,-87.0,424.15384615384613,0.15384615384615385
A-FLAG津,L 無職転生 〜異世界行ったら本気だす〜,8.0,12,12,-60.833333333333336,432.9166666666667,0.16666666666666666
A-FLAG津,L 無職転生 〜異世界行ったら本気だす〜,9.0,11,11,-393.90909090909093,694.3636363636364,0.09090909090909091
A-FLAG津,L 犬夜叉2,0.0,15,15,354.3333333333333,660.8,0.26666666666666666
A-FLAG津,L 犬夜叉2,1.0,21,21,-335.1904761904762,1357.8095238095239,0.14285714285714285
A-FLAG津,L 犬夜叉2,2.0,17,17,-106.94117647058823,963.8235294117648,0.23529411764705882
A-FLAG津,L 犬夜叉2,3.0,17,17,-395.11764705882354,1426.764705882353,0.11764705882352941
A-FLAG津,L 犬夜叉2,4.0,17,17,-45.411764705882355,1001.4705882352941,0.29411764705882354
A-FLAG津,L 犬夜叉2,5.0,16,16,-313.0625,1548.75,0.25
A-FLAG津,L 犬夜叉2,6.0,17,17,295.05882352941177,724.0588235294117,0.23529411764705882
A-FLAG津,L 犬夜叉2,7.0,16,16,569.8125,1087.375,0.4375
A-FLAG津,L 犬夜叉2,8.0,15,15,-506.4,1114.8666666666666,0.06666666666666667
A-FLAG津,L 犬夜叉2,9.0,15,15,-272.4,1021.6,0.06666666666666667
A-FLAG津,Lうしおととら白面決戦VH,0.0,10,14,-157.28571428571428,622.0,0.07142857142857142
A-FLAG津,Lうしおととら白面決戦VH,1.0,12,17,-50.1764705882353,688.1764705882352,0.17647058823529413
A-FLAG津,Lうしおととら白面決戦VH,2.0,10,14,-579.5,1139.2857142857142,0.14285714285714285
A-FLAG津,Lうしおととら白面決戦VH,3.0,10,14,352.14285714285717,703.0,0.14285714285714285
A-FLAG津,Lうしおととら白面決戦VH,4.0,10,14,-1.2142857142857142,382.07142857142856,0.14285714285714285
A-FLAG津,Lうしおととら白面決戦VH,5.0,10,14,851.2142857142857,630.0,0.2857142857142857
A-FLAG津,Lうしおととら白面決戦VH,6.0,10,14,510.85714285714283,304.14285714285717,0.21428571428571427
A-FLAG津,Lうしおととら白面決戦VH,7.0,9,12,-159.25,326.0,0.25
A-FLAG津,Lうしおととら白面決戦VH,8.0,9,12,-118.16666666666667,144.25,0.08333333333333333
