店舗,機種名,Weekday,稼働日数,集計数,平均差枚数,平均回転数,勝率
A-FLAG津,L ToLOVEるダークネス,土曜日,65,109,216.70642201834863,1887.8532110091744,0.3394495412844037
A-FLAG津,L ToLOVEるダークネス,日曜日,64,108,93.0925925925926,1853.5555555555557,0.3333333333333333
A-FLAG津,L ToLOVEるダークネス,月曜日,65,110,-325.8181818181818,1082.1363636363637,0.12727272727272726
A-FLAG津,L ToLOVEるダークネス,木曜日,64,108,-223.1851851851852,915.4351851851852,0.19444444444444445
A-FLAG津,L ToLOVEるダークネス,水曜日,63,106,-360.7169811320755,902.0377358490566,0.16037735849056603
A-FLAG津,L ToLOVEるダークネス,火曜日,64,107,-39.32710280373832,881.2149532710281,0.2336448598130841
A-FLAG津,L ToLOVEるダークネス,金曜日,64,108,-127.23148148148148,1003.6481481481482,0.25
A-FLAG津,L にゃんこ大戦争 超神速,土曜日,47,47,-198.40425531914894,1679.468085106383,0.2978723404255319
A-FLAG津,L にゃんこ大戦争 超神速,日曜日,47,47,-428.1914893617021,1690.063829787234,0.2127659574468085
A-FLAG津,L にゃんこ大戦争 超神速,月曜日,47,47,370.1489361702128,1237.8936170212767,0.2978723404255319
A-FLAG津,L にゃんこ大戦争 超神速,木曜日,46,46,-192.43478260869566,1519.9347826086957,0.30434782608695654
A-FLAG津,L にゃんこ大戦争 超神速,水曜日,46,46,-338.7608695652174,1263.8478260869565,0.17391304347826086
A-FLAG津,L にゃんこ大戦争 超神速,火曜日,46,46,-28.304347826086957,1083.9130434782608,0.21739130434782608
A-FLAG津,L にゃんこ大戦争 超神速,金曜日,47,47,-193.80851063829786,1199.6382978723404,0.2765957446808511
A-FLAG津,L アズールレーン THE ANIMATION,土曜日,33,33,175.3030303030303,2882.3939393939395,0.42424242424242425
A-FLAG津,L アズールレーン THE ANIMATION,日曜日,31,31,159.41935483870967,3230.0967741935483,0.4838709677419355
A-FLAG津,L アズールレーン THE ANIMATION,月曜日,32,32,397.90625,1708.0,0.40625
A-FLAG津,L アズールレーン THE ANIMATION,木曜日,32,32,970.4375,2085.75,0.375
A-FLAG津,L アズールレーン THE ANIMATION,水曜日,31,31,-738.1290322580645,1981.8387096774193,0.25806451612903225
A-FLAG津,L アズールレーン THE ANIMATION,火曜日,32,32,-342.625,1849.0625,0.34375
A-FLAG津,L アズールレーン THE ANIMATION,金曜日,31,31,-625.7096774193549,2089.4193548387098,0.2903225806451613
A-FLAG津,L ゴジラ対エヴァンゲリオン,土曜日,44,128,-28.8125,924.9453125,0.25
