店舗,新台入替回数,総導入台数,平均差枚数,平均回転数,勝率
大丸桜山,4.0,8.0,982.25,3934.125,0.5
ZENT多治見,7.0,180.0,901.5333333333333,6404.65,0.4722222222222222
プレイランドキャッスル高浜,6.0,173.0,806.9248554913295,7345.398843930636,0.5086705202312138
オーギヤタウン半田,14.0,459.0,702.6797385620915,8286.657952069716,0.5599128540305011
コスモジャパン大府,25.0,805.0,668.2571428571429,3483.368944099379,0.5242236024844721
キクヤ本店,26.0,142.0,629.9507042253521,6292.69014084507,0.5492957746478874
ZENT555,23.0,458.0,463.3930131004367,3817.1528384279477,0.4890829694323144
ジール当知,9.0,94.0,450.52127659574467,2734.0851063829787,0.40425531914893614
オーギヤWO,7.0,135.0,434.5777777777778,5502.185185185185,0.45185185185185184
キクヤ長良,28.0,299.0,423.2240802675585,6644.401337792642,0.45819397993311034
オーギヤチャンピオン,7.0,102.0,420.47058823529414,4824.176470588235,0.38235294117647056
キクヤ春日井,32.0,805.0,391.04347826086956,7194.474534161491,0.43975155279503103
M&K岡崎,21.0,231.0,363.1515151515151,6283.333333333333,0.47186147186147187
オーギヤ本巣,13.0,141.0,338.4609929078014,3697.063829787234,0.44680851063829785
ダイエー守山,14.0,114.0,336.5175438596491,2448.7982456140353,0.38596491228070173
ZENT市ノ坪,10.0,213.0,327.81220657277,8060.042253521126,0.49295774647887325
コスモジャパン三谷,24.0,330.0,322.8454545454546,3938.3636363636365,0.4727272727272727
オーギヤGO,8.0,107.0,312.5327102803738,3911.429906542056,0.4392523364485981
コスモジャパン西尾,25.0,377.0,292.1167108753316,2976.7984084880636,0.46684350132625996
プレイランドキャッスル知多東海,29.0,327.0,280.7920489296636,2786.987767584098,0.47706422018348627
yout小牧店(APAN21小牧店),10.0,82.0,272.6829268292683,1600.1463414634147,0.3902439024390244
ホームラン桑名,12.0,185.0,271.9351351351351,4020.027027027027,0.372972972972973
ウイングレット,14.0,103.0,266.2718446601942,1925.0970873786407,0.39805825242718446
ZENT各務原,22.0,283.0,259.9187279151943,7066.070671378092,0.4664310954063604
KOHAKU春日井,14.0,84.0,253.25,1943.6785714285713,0.34523809523809523
ZENT坂祝,6.0,157.0,241.59235668789808,5636.783439490446,0.40764331210191085
ZENT名古屋北,23.0,1166.0,228.40137221269296,6006.797598627787,0.44082332761578047
ZENT若林,12.0,116.0,225.3448275862069,1768.8620689655172,0.3620689655172414
オーギヤ江南,12.0,154.0,221.26623376623377,6252.435064935065,0.38311688311688313
GOLD玉越浄水,11.0,186.0,219.2311827956989,5031.677419354839,0.41397849462365593
キャッスル大金,24.0,273.0,211.51282051282053,5235.915750915751,0.46153846153846156
G&L一宮,25.0,115.0,207.11304347826086,1445.7478260869566,0.41739130434782606
グランワールドカップ本巣,18.0,478.0,191.3744769874477,5526.665271966527,0.4330543933054393
ホームラン白子,12.0,105.0,189.1904761904762,3112.6285714285714,0.37142857142857144
KEIZ港,24.0,385.0,186.3272727272727,5683.872727272727,0.42597402597402595
サンパレス,23.0,127.0,184.17322834645668,3051.196850393701,0.47244094488188976
キクヤ穂積,18.0,530.0,180.7754716981132,7277.101886792453,0.44716981132075473
ZENT長久手,2.0,22.0,179.9090909090909,2529.818181818182,0.6363636363636364
プレイランドキャッスル尾頭橋,51.0,384.0,176.10416666666666,1878.9140625,0.4479166666666667
